令和４年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表,,,,,,,,,,
,,,,,,,,,,
,・健康保険料率：令和4年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用,,,,,,,,,
,・介護保険料率：令和4年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用,,,,,,,,,
,,,,,,,,,,
（東京都）,,,,,,,,,,（単位：円）
標  準  報  酬,,報  酬  月  額,,,全国健康保険協会管掌健康保険料,,,,厚生年金保険料（厚生年金基金加入員を除く）,
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,一般、坑内員・船員,
等級,月  額,,,,9.81%,,11.45%,,18.300%※,
,,,,,全  額,折半額,全  額,折半額,全  額,折半額
,,円以上,,円未満,,,,,,
1,"58,000",,～,"63,000","5,689.8","2,844.9","6,641.0","3,320.5","16,104.00","8,052.00"
2,"68,000","63,000",～,"73,000","6,670.8","3,335.4","7,786.0","3,893.0","16,104.00","8,052.00"
3,"78,000","73,000",～,"83,000","7,651.8","3,825.9","8,931.0","4,465.5","16,104.00","8,052.00"
4（1）,"88,000","83,000",～,"93,000","8,632.8","4,316.4","10,076.0","5,038.0","16,104.00","8,052.00"
5（2）,"98,000","93,000",～,"101,000","9,613.8","4,806.9","11,221.0","5,610.5","17,934.00","8,967.00"
6（3）,"104,000","101,000",～,"107,000","10,202.4","5,101.2","11,908.0","5,954.0","19,032.00","9,516.00"
7（4）,"110,000","107,000",～,"114,000","10,791.0","5,395.5","12,595.0","6,297.5","20,130.00","10,065.00"
8（5）,"118,000","114,000",～,"122,000","11,575.8","5,787.9","13,511.0","6,755.5","21,594.00","10,797.00"
9（6）,"126,000","122,000",～,"130,000","12,360.6","6,180.3","14,427.0","7,213.5","23,058.00","11,529.00"
10（7）,"134,000","130,000",～,"138,000","13,145.4","6,572.7","15,343.0","7,671.5","24,522.00","12,261.00"
11（8）,"142,000","138,000",～,"146,000","13,930.2","6,965.1","16,259.0","8,129.5","25,986.00","12,993.00"
12（9）,"150,000","146,000",～,"155,000","14,715.0","7,357.5","17,175.0","8,587.5","27,450.00","13,725.00"
13（10）,"160,000","155,000",～,"165,000","15,696.0","7,848.0","18,320.0","9,160.0","29,280.00","14,640.00"
14（11）,"170,000","165,000",～,"175,000","16,677.0","8,338.5","19,465.0","9,732.5","31,110.00","15,555.00"
15（12）,"180,000","175,000",～,"185,000","17,658.0","8,829.0","20,610.0","10,305.0","32,940.00","16,470.00"
16（13）,"190,000","185,000",～,"195,000","18,639.0","9,319.5","21,755.0","10,877.5","34,770.00","17,385.00"
17（14）,"200,000","195,000",～,"210,000","19,620.0","9,810.0","22,900.0","11,450.0","36,600.00","18,300.00"
18（15）,"220,000","210,000",～,"230,000","21,582.0","10,791.0","25,190.0","12,595.0","40,260.00","20,130.00"
19（16）,"240,000","230,000",～,"250,000","23,544.0","11,772.0","27,480.0","13,740.0","43,920.00","21,960.00"
20（17）,"260,000","250,000",～,"270,000","25,506.0","12,753.0","29,770.0","14,885.0","47,580.00","23,790.00"
21（18）,"280,000","270,000",～,"290,000","27,468.0","13,734.0","32,060.0","16,030.0","51,240.00","25,620.00"
