令和６年３月分（４月納付分）からの健康保険・厚生年金保険の保険料額表,,,,,,,,,,
,,,,,,,,,,
,・健康保険料率：令和6年3月分～　適用　　 　・厚生年金保険料率：平成29年9月分～　適用,,,,,,,,,
,・介護保険料率：令和6年3月分～　適用 　　  ・子ども・子育て拠出金率：令和2年4月分～　適用,,,,,,,,,
,,,,,,,,,,
（東京都）,,,,,,,,,,（単位：円）
標  準  報  酬,,報  酬  月  額,,,全国健康保険協会管掌健康保険料,,,,厚生年金保険料（厚生年金基金加入員を除く）,
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,一般、坑内員・船員,
等級,月  額,,,,9.98%,,11.58%,,18.300%※,
,,,,,全  額,折半額,全  額,折半額,全  額,折半額
,,円以上,,円未満,,,,,,
1,"58,000",,～,"63,000","5,788.4","2,894.2","6,716.4","3,358.2","16,104.00","8,052.00"
2,"68,000","63,000",～,"73,000","6,786.4","3,393.2","7,874.4","3,937.2","16,104.00","8,052.00"
3,"78,000","73,000",～,"83,000","7,784.4","3,892.2","9,032.4","4,516.2","16,104.00","8,052.00"
4（1）,"88,000","83,000",～,"93,000","8,782.4","4,391.2","10,190.4","5,095.2","16,104.00","8,052.00"
5（2）,"98,000","93,000",～,"101,000","9,780.4","4,890.2","11,348.4","5,674.2","17,934.00","8,967.00"
6（3）,"104,000","101,000",～,"107,000","10,379.2","5,189.6","12,043.2","6,021.6","19,032.00","9,516.00"
7（4）,"110,000","107,000",～,"114,000","10,978.0","5,489.0","12,738.0","6,369.0","20,130.00","10,065.00"
8（5）,"118,000","114,000",～,"122,000","11,776.4","5,888.2","13,664.4","6,832.2","21,594.00","10,797.00"
9（6）,"126,000","122,000",～,"130,000","12,574.8","6,287.4","14,590.8","7,295.4","23,058.00","11,529.00"
10（7）,"134,000","130,000",～,"138,000","13,373.2","6,686.6","15,517.2","7,758.6","24,522.00","12,261.00"
11（8）,"142,000","138,000",～,"146,000","14,171.6","7,085.8","16,443.6","8,221.8","25,986.00","12,993.00"
12（9）,"150,000","146,000",～,"155,000","14,970.0","7,485.0","17,370.0","8,685.0","27,450.00","13,725.00"
13（10）,"160,000","155,000",～,"165,000","15,968.0","7,984.0","18,528.0","9,264.0","29,280.00","14,640.00"
14（11）,"170,000","165,000",～,"175,000","16,966.0","8,483.0","19,686.0","9,843.0","31,110.00","15,555.00"
15（12）,"180,000","175,000",～,"185,000","17,964.0","8,982.0","20,844.0","10,422.0","32,940.00","16,470.00"
16（13）,"190,000","185,000",～,"195,000","18,962.0","9,481.0","22,002.0","11,001.0","34,770.00","17,385.00"
17（14）,"200,000","195,000",～,"210,000","19,960.0","9,980.0","23,160.0","11,580.0","36,600.00","18,300.00"
18（15）,"220,000","210,000",～,"230,000","21,956.0","10,978.0","25,476.0","12,738.0","40,260.00","20,130.00"
19（16）,"240,000","230,000",～,"250,000","23,952.0","11,976.0","27,792.0","13,896.0","43,920.00","21,960.00"
20（17）,"260,000","250,000",～,"270,000","25,948.0","12,974.0","30,108.0","15,054.0","47,580.00","23,790.00"
21（18）,"280,000","270,000",～,"290,000","27,944.0","13,972.0","32,424.0","16,212.0","51,240.00","25,620.00"
22（19）,"300,000","290,000",～,"310,000","29,940.0","14,970.0","34,740.0","17,370.0","54,900.00","27,450.00"
23（20）,"320,000","310,000",～,"330,000","31,936.0","15,968.0","37,056.0","18,528.0","58,560.00","29,280.00"
24（21）,"340,000","330,000",～,"350,000","33,932.0","16,966.0","39,372.0","19,686.0","62,220.00","31,110.00"
25（22）,"360,000","350,000",～,"370,000","35,928.0","17,964.0","41,688.0","20,844.0","65,880.00","32,940.00"
26（23）,"380,000","370,000",～,"395,000","37,924.0","18,962.0","44,004.0","22,002.0","69,540.00","34,770.00"
27（24）,"410,000","395,000",～,"425,000","40,918.0","20,459.0","47,478.0","23,739.0","75,030.00","37,515.00"
28（25）,"440,000","425,000",～,"455,000","43,912.0","21,956.0","50,952.0","25,476.0","80,520.00","40,260.00"
29（26）,"470,000","455,000",～,"485,000","46,906.0","23,453.0","54,426.0","27,213.0","86,010.00","43,005.00"
30（27）,"500,000","485,000",～,"515,000","49,900.0","24,950.0","57,900.0","28,950.0","91,500.00","45,750.00"
31（28）,"530,000","515,000",～,"545,000","52,894.0","26,447.0","61,374.0","30,687.0","96,990.00","48,495.00"
32（29）,"560,000","545,000",～,"575,000","55,888.0","27,944.0","64,848.0","32,424.0","102,480.00","51,240.00"
33（30）,"590,000","575,000",～,"605,000","58,882.0","29,441.0","68,322.0","34,161.0","107,970.00","53,985.00"
34（31）,"620,000","605,000",～,"635,000","61,876.0","30,938.0","71,796.0","35,898.0","113,460.00","56,730.00"
35（32）,"650,000","635,000",～,"665,000","64,870.0","32,435.0","75,270.0","37,635.0","118,950.00","59,475.00"
36,"680,000","665,000",～,"695,000","67,864.0","33,932.0","78,744.0","39,372.0",,
37,"710,000","695,000",～,"730,000","70,858.0","35,429.0","82,218.0","41,109.0",※厚生年金基金に加入している方の,
38,"750,000","730,000",～,"770,000","74,850.0","37,425.0","86,850.0","43,425.0",　 厚生年金保険料率は、基金ごとに,
39,"790,000","770,000",～,"810,000","78,842.0","39,421.0","91,482.0","45,741.0",　 定められている免除保険料率,
40,"830,000","810,000",～,"855,000","82,834.0","41,417.0","96,114.0","48,057.0",   （2.4％～5.0％）を控除した率となり,
41,"880,000","855,000",～,"905,000","87,824.0","43,912.0","101,904.0","50,952.0",   ます。,
42,"930,000","905,000",～,"955,000","92,814.0","46,407.0","107,694.0","53,847.0",,
43,"980,000","955,000",～,"1,005,000","97,804.0","48,902.0","113,484.0","56,742.0",　 加入する基金ごとに異なりますの,
44,"1,030,000","1,005,000",～,"1,055,000","102,794.0","51,397.0","119,274.0","59,637.0",　 で、免除保険料率および厚生年金,
45,"1,090,000","1,055,000",～,"1,115,000","108,782.0","54,391.0","126,222.0","63,111.0",　 基金の掛金については、加入する,
46,"1,150,000","1,115,000",～,"1,175,000","114,770.0","57,385.0","133,170.0","66,585.0",　 厚生年金基金にお問い合わせ,
47,"1,210,000","1,175,000",～,"1,235,000","120,758.0","60,379.0","140,118.0","70,059.0",　 ください。,
48,"1,270,000","1,235,000",～,"1,295,000","126,746.0","63,373.0","147,066.0","73,533.0",,
49,"1,330,000","1,295,000",～,"1,355,000","132,734.0","66,367.0","154,014.0","77,007.0",,
50,"1,390,000","1,355,000",～,,"138,722.0","69,361.0","160,962.0","80,481.0",,
,,,,,,,,,,
◆介護保険第２号被保険者は、40歳から64歳までの方であり、健康保険料率（9.98%）に介護保険料率（1.60%）が加わります。,,,,,,,,,,
◆等級欄の（　）内の数字は、厚生年金保険の標準報酬月額等級です。,,,,,,,,,,
"　4（1）等級の「報酬月額」欄は、厚生年金保険の場合「93,000円未満」と読み替えてください。",,,,,,,,,,
"　35（32）等級の「報酬月額」欄は、厚生年金保険の場合「635,000円以上」と読み替えてください。",,,,,,,,,,
"◆令和6年度における全国健康保険協会の任意継続被保険者について、標準報酬月額の上限は、300,000円です。",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
  ○被保険者負担分（表の折半額の欄）に円未満の端数がある場合,,,,,,,,,,
　  ①事業主が、給与から被保険者負担分を控除する場合、被保険者負担分の端数が50銭以下の場合は切り捨て、50銭を超える場合は切り上げて1円となります。,,,,,,,,,,
　  ②被保険者が、被保険者負担分を事業主へ現金で支払う場合、被保険者負担分の端数が50銭未満の場合は切り捨て、50銭以上の場合は切り上げて1円となります。,,,,,,,,,,
　  （注）①、②にかかわらず、事業主と被保険者間で特約がある場合には、特約に基づき端数処理をすることができます。,,,,,,,,,,
,,,,,,,,,,
  ○納入告知書の保険料額,,,,,,,,,,
  　納入告知書の保険料額は、被保険者個々の保険料額を合算した金額になります。ただし、合算した金額に円未満の端数がある場合は、その端数を切り捨てた額となります。,,,,,,,,,,
,,,,,,,,,,
  ○賞与にかかる保険料額,,,,,,,,,,
"  　賞与に係る保険料額は、賞与額から1,000円未満の端数を切り捨てた額（標準賞与額)に、保険料率を乗じた額となります。",,,,,,,,,,
  　また、標準賞与額の上限は、健康保険は年間573万円（毎年4月1日から翌年3月31日までの累計額。）となり、厚生年金保険と子ども・子育て拠出金の場合は,,,,,,,,,,
　　月間150万円となります。　,,,,,,,,,,
,,,,,,,,,,
　○子ども・子育て拠出金,,,,,,,,,,
　　事業主の方は、児童手当の支給に要する費用等の一部として、子ども・子育て拠出金を負担いただくことになります。（被保険者の負担はありません。）,,,,,,,,,,
　　この子ども・子育て拠出金の額は、被保険者個々の厚生年金保険の標準報酬月額および標準賞与額に、拠出金率（0.36％）を乗じて得た額の総額となります。,,,,,,,,,,
,,,,,,,,,,
